id;Domain;size;uniqs;domain creation_date;ip;file_date;
f4132d1fde787e27fb305316d0f53af8;andres.com;22436265;154977;1996-02-26T00;173.236.166.180;01-Apr-2014;
cf15cb26bdb1a9eb0fdaa747b0105a19;www.shatterboxx.com;17203376;238966;2009-03-25 21;208.113.160.137;01-Apr-2014;
9e641d1c82975ff7ee7eec4c7c2804dc;www.anemosarts.com;6715677;93722;2002-09-11;69.163.165.139;01-Apr-2014;
a7834b8acd01611ddaf36c8cb553ab56;www.5lessonsmovie.com;4067745;93865;2010-01-23 13;173.236.178.13;01-Apr-2014;
5cbd8dd45d800dad3d4df6967df019e2;semiotexte.com;3927682;65688;;208.97.151.149;01-Apr-2014;
4b0b1159a79e936bc4e04cb178735bd3;eduardoporter.com;3160353;51093;2008-09-29 13;208.113.172.49;01-Apr-2014;
dc3f1d2e175c59c2d98ba38b23a44f74;thenonconsumeradvocate.com;2640888;11654;2008-12-04 22;208.97.149.146;01-Apr-2014;
672f5558f939e13c2a01d888c6d0959b;www.hibiscuscreative.com;1476159;26614;2009-02-07 10;66.33.212.163;24-Jan-2014;
5f41006aee2334092d4548819f6ba03e;www.xirimita.com;1024615;18045;28-Jun-2002;67.205.30.157;01-Apr-2014;
e2adca6630d442ddd8845e572177472c;www.preferredenemies.com;315490;4552;2011-02-09 09;173.236.225.65;01-Apr-2014;
32f410d517471b6ec14231dc30f0afc0;www.laurenwakefieldphotography.com;247357;3874;2010-03-29 14;64.90.40.36;None;
d8f5e7eb220ea5ee476c2e68158aad1e;www.eclecticwhatnot.com;93182;5101;2009-12-10 12;173.236.177.30;14-Sep-2012;
b0764c1f32bdc0be3381e54c6b462160;www.supercutekawaii.com;77710;5042;;173.254.28.39;None;
704e726682406f4704d1c8d559790617;metroxfi.com;65850;4691;2007-01-08 21;66.33.220.144;04-Sep-2012;
7444dcf2637545fecf18e1f6301c346b;www.shrednews.com;57930;1253;2009-04-22 21;67.205.57.217;10-Mar-2013;
f72be5cfe0a0ce790e200398851c3ee2;www.alkavadlo.com;40395;2707;2009-10-11 17;67.205.1.40;03-Aug-2012;
ba86a92923921109b13a0f8d8c817b9d;www.bzlba.com;14937;284;2010-04-20 21;66.33.221.216;05-Jul-2012;
78b9d88abd6628f4d03973019f91591c;www.ohsochic.gr;14045;320;;95.154.242.210;None;
85f065d916542d3f6272aeb67740109f;www.danielyeow.com;5080;174;2004-01-12 20;64.111.127.179;19-Mar-2013;
d87eeab301114868aa1c02df653d64ad;www.projectladybug.org;2718;112;2008-10-10T04;64.90.34.254;07-Sep-2012;
fbbe6e275755efc5e188161e096aa85a;www.warmodellingminiatures.net;2177;132;;208.113.163.223;05-Jun-2013;
d8418ed626aa621cf5face9e69ed7ee3;www.leemunroe.com;2035;117;2007-02-22 23;185.31.17.133;None;
a5523790de6d2c8c1e2f20c81dfd8356;outyouth.org;1218;4;1996-01-09T05;208.113.211.179;03-Oct-2012;
88e10d725dfc6ab2067da6c24a0330ed;www.servantleadershipexperience.org;612;1;2010-12-09T20;205.196.211.89;None;
ec1b385bf0c1855079f4cda890a131de;www.sharelordonline.com;306;2;2010-03-23 18;67.227.253.138;None;
